"Id","DateCreated","DateUpdated","Code","Description","CategoryId","DefaultPrice","BarCode","AgeRestricted","DateDeleted","ImagePath","GroupId","IsExternal","MeasurementUnit","TaxInformation_Cest","TaxInformation_ExTipi","TaxInformation_Ncm","TaxInformation_Origin","Discriminator","ConversionUnitName","ConversionUnitRatio","CreatorGroupId","DateStandardized","ShippingConversionUnitName","ShippingConversionUnitRatio","ParentProductId"
74,2025-10-10 12:29:33.435,2025-10-17 21:21:51.409,"7899970402456",CREME IOIO MIX DUO,9,2.39,"7899970402456",false,,images/product/74_KB328K44C95AA9YJYRVDXV4QQ452MBUS.png,,false,0,,,"00000000",,Product,0,1,,2025-10-10 12:29:33.435,0,1,
80,2025-10-10 12:29:33.435,2025-10-17 21:23:36.806,"7894900050011",FANTA UVA LATA 350ML,10,3.79,"7894900050011",false,,images/product/80_A3GE3B7MC6WN7V6M8GU48AFKEDF2X79B.png,,false,0,"0301100",,"22021000",0,Product,2,6,,2025-10-10 12:29:33.435,0,1,
562,2025-11-05 21:01:29.106,2025-11-05 21:01:59.221,"7896045506934",CERVEJA LAGER PURO MALTE AMSTEL LATA 350ML,16,4.69,"7896045506934",true,,images/product/562_GTBGTSF4GU6D57JAN864QFC5WUTKG9QB.png,,false,0,,,,,Product,0,1,,2025-11-05 21:01:29.106,0,1,
432,2025-10-23 16:40:44.500,2025-10-23 16:41:17.358,"7898416780028",BISCOITO DE POLVILHO 100G,,4,"7898416780028",false,,images/product/432_E6YP7PUJ55EZHKC3LMVBSCNXGAQ9CUDG.png,,false,0,,,,,Product,0,1,,2025-10-23 16:40:44.500,0,1,
333,2025-10-17 16:13:53.418,2026-04-10 18:41:00.503,"9002490283063",ENERGETICO RED BULL ZERO LT 250ML	,3,8.99,"9002490283063",false,,images/product/333_XVFJ7FYZWTLXCNC42VRTBR4TND8F8NR5.png,,false,0,,,,,Product,1,4,,2025-10-17 16:13:53.418,0,1,
433,2025-10-23 16:49:36.957,2025-10-23 16:58:08.546,"7896336007829",PAÇOQUITA 18G SANTA HELENA,,1.6,"7896336007829",false,,images/product/433_E9ZDDZV6X6QTUCYG9QUPCQ6S62GGMHZ9.png,,false,0,,,,,Product,0,1,,2025-10-23 16:49:36.957,0,1,
496,2025-10-30 20:15:53.904,2025-12-29 19:35:37.852,"78939318",BOMBOM OURO BRANCO 20G,1,1.1,"78939318",false,,images/product/496_LKBR7TM6NF89CP7PLXQ7MHGWYJ3ZQ9ZR.png,,false,0,,,,,Product,3,50,,2025-10-30 20:15:53.904,0,1,
403,2025-10-17 17:14:05.758,2025-11-01 17:56:21.954,"7894900027013",REFRIGERANTE COCA-COLA GARRAFA 2L,15,7.99,"7894900027013",false,,images/product/403_3E7HM8XA24S7HC4RKX4LX2MXMHV866CC.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.758,0,1,
165,2025-10-10 12:29:33.435,2025-12-03 16:12:17.671,"7896045506910",CERVEJA HEINEKEN ZERO 350ML LATA	,16,5.39,"7896045506910",true,,images/product/165_F5E2B7N752RKJKQGVDSED6QJJ67U2XF3.png,,false,0,,,"00000000",,Product,2,12,,2025-10-10 12:29:33.435,0,1,
115,2025-10-10 12:29:33.435,2025-11-01 18:43:26.252,"611269991000",ENERGETICO RED BULL LT 250ML,3,6.89,"611269991000",false,,images/product/115_K3ZUHJGP7U8HSQREPZLMFVSHKP4NN3D3.png,,false,0,,,"22029900",0,Product,3,4,,2025-10-10 12:29:33.435,0,1,
365,2025-10-17 17:14:05.643,2025-11-01 18:59:38.880,"7622210569608",BOLACHA TRAKINAS DE MORANGO 42G,6,1.25,"7622210569608",false,,images/product/365_PSX49P8E2U6G9T8LSJKG8ZY2B2SPB5BW.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.643,0,1,
367,2025-10-17 17:14:05.647,2025-11-01 18:59:55.700,"7891962042725",PAO DE MEL BAUDUCCO 30G,7,1.79,"7891962042725",false,,images/product/367_GVPHACDRT9YLLDDGX2VSZNW83MTPM7PK.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.647,0,1,
373,2025-10-17 17:14:05.659,2026-03-02 13:03:32.097,"7622210564313",TRIDENT HERBAL,1,2.09,"7622210564313",false,,images/product/373_Z7CXPJ6KZ6SR3MRTVHBWFTU5L8R4WM2V.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.659,5,21,
370,2025-10-17 17:14:05.653,2026-03-02 13:17:54.013,"7891151039697","DROPS FREEG 12X27,9G AZED MOR",1,1,"7891151039697",false,,images/product/370_WAGCZW44QS6J3QGNUP49S42LYZAY9UV6.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.653,1,15,
377,2025-10-17 17:14:05.668,2026-03-02 13:18:10.909,"7898142865082",TORTUGUITA RECHEIO BRIGADEIRO,9,1.49,"7898142865082",false,,images/product/377_KSMYNZS7E47J7WTBVECECPYD77SAG2MV.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.668,1,20,
431,2025-10-23 16:36:45.792,2026-03-02 13:18:17.103,"7898142865068",TORTUGUITA BRANCO COM RECHEIO,1,1.49,"7898142865068",false,,images/product/431_5A6E6F6YZ8RVZ4A4CYUSB2FASRRBYJJ3.png,,false,0,,,,,Product,0,1,,2025-10-23 16:36:45.792,1,20,
-2,2025-11-03 16:32:58.452,2025-11-03 16:32:58.452,RECARGA,RECARGA,,0,,false,,,,false,0,,,"00000000",,Product,1,5,,2025-11-03 16:32:58.452,0,1,
430,2025-10-23 16:30:42.843,2025-11-04 12:58:16.794,"78939301",BOMBOM SONHO DE VALSA 20G,1,1.1,"78939301",false,,images/product/430_WX6BBD6Z6959KN5V69X68YE6CWBXQM2N.png,,false,0,,,,,Product,0,1,,2025-10-23 16:30:42.843,0,1,
404,2025-10-17 17:14:05.764,2025-11-05 20:53:27.617,"7894900701517",REFRIGERANTE SEM AÇÚCAR COCA-COLA ZERO GARRAFA 2L,10,8.98,"7894900701517",false,,images/product/404_L58M956PH8FX2W2CXGGFDWLT2VT92JAM.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.764,0,1,
144,2025-10-10 12:29:33.435,2025-11-05 20:59:33.935,"7896045506873",CERVEJA HEINEKEN 350ML LATA,16,5.39,"7896045506873",true,,images/product/144_8MFMQ6WC9C29BXKU3859QW6BJ9PP4L7X.png,,false,0,,,"00000000",,Product,2,12,,2025-10-10 12:29:33.435,0,1,
369,2025-10-17 17:14:05.651,2026-03-02 13:21:56.453,"7895144693224",CONFEITO MENTOS C/16 STICK T FR,1,2.39,"7895144693224",false,,images/product/369_CN2YQACH4CJ47K8HLAFWFR7YBBX437MR.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.651,1,16,
134,2025-10-10 12:29:33.435,2025-11-07 01:15:28.014,"7894321242521",BEBIDA LÁCTEA UHT CHOCOLATE TODDYNHO LEVINHO CAIXA 200ML,19,2.99,"7894321242521",false,,images/product/134_SXB68YU2GBN3SNC6C5YDTEWAL2W24EDU.png,,false,0,,,"00000000",,Product,1,27,,2025-10-10 12:29:33.435,0,1,
181,2025-10-10 12:29:33.435,2025-12-05 12:37:27.411,"7892840822293",SALGADINHO DE MILHO MIX DE QUEIJOS ELMA CHIPS CHEETOS PACOTE 36G,4,3.79,"7892840822293",false,,images/product/181_LQHJX8DYVCNQJYAJTMHXZSSW5SUC2Q76.png,,false,0,,,"00000000",,Product,0,1,,2025-10-10 12:29:33.435,0,1,
37,2025-10-10 12:29:33.435,2025-11-07 01:19:00.133,"7894900531008",AGUA MINERAL NATURAL COM GAS CRYSTAL GARRAFA 500ML,13,2.59,"7894900531008",false,,images/product/37_WAJ9MFNSV4FVTDVPSNDDBZ3WSBF22YE5.png,,false,0,,,"00000000",,Product,2,12,,2025-10-10 12:29:33.435,0,1,
